outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__linear_svm__C,param_model__rbf_features__gamma,param_model__rbf_features__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,Approx RBF SVM,652.5325208902359,10.972910096741536,4.7174071073532104,0.46417508639953037,5.0,0.001,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9440466752983545,0.9421846596897089,0.9424956909941565,0.945173956703663,0.9434752456714708,0.0012080242683345165,12
1,Approx RBF SVM,394.2092736363411,11.002914667239017,2.347313106060028,0.062016744656250684,5.0,0.003,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9499433499263001,0.9486353318858202,0.9476025412724005,0.9526153266750056,0.9496991374398815,0.0018769121676256004,7
1,Approx RBF SVM,660.1885513067245,10.61104987998533,3.914229154586792,0.43912426488332296,5.0,0.003,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9543877797968865,0.953658097694341,0.9525068453133481,0.9563807592153234,0.9542333705049747,0.0014095166322837045,4
1,Approx RBF SVM,378.44038939476013,12.326108589559015,2.000247359275818,0.20932464675846216,5.0,0.01,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9489525121058328,0.9483127293188391,0.9475660640464005,0.9494798225697532,0.9485777820102064,0.0007155288224670068,9
1,Approx RBF SVM,613.7674272060394,10.038972655795611,3.505859136581421,0.29027389628948713,5.0,0.01,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9554902513941588,0.9547104781689429,0.9534543221546806,0.9571874634415589,0.9552106287898352,0.001352851403644468,3
1,Approx RBF SVM,436.84987050294876,7.566685718762233,2.463428556919098,0.5559937359728553,10.0,0.0005,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9375747079693075,0.9368484643667888,0.9379848688246905,0.9393355655003935,0.9379359016652951,0.0009047703297226241,19
1,Approx RBF SVM,667.80984634161,5.67958203081344,2.6554466485977173,0.695420829765139,10.0,0.0005,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9403933105964118,0.9392041526912944,0.9404501471896476,0.9413178633668144,0.940341368461042,0.0007518864284561088,16
1,Approx RBF SVM,432.62724500894547,12.306588939004522,1.8041298389434814,0.40955159221846454,10.0,0.001,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9462479689574029,0.9443805059045718,0.945433512038721,0.9474324568187262,0.9458736109298553,0.0011172728056011794,11
1,Approx RBF SVM,612.8317319154739,9.119630654389344,1.712108314037323,0.02092037974050571,10.0,0.001,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9498032875821114,0.9483713066674926,0.9480489751726933,0.9509290414844079,0.9492881527266762,0.001154777851046501,8
1,Approx RBF SVM,409.1792611479759,2.8253542944584757,1.7590932250022888,0.22031270947619436,10.0,0.003,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9533803833992079,0.9523201318016816,0.9515959073464708,0.9562032316356212,0.9533749135457454,0.0017519161453593431,5
