outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Decision Tree,18.073369801044464,0.5046138025218404,0.12092143297195435,0.0033851358945945495,gini,40,1,5,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9236674103611413,0.9236936118389658,0.9274113058177336,0.924892145579535,0.924916118399344,0.0015231816211321383,53
2,Decision Tree,18.240190625190735,0.36599697304444123,0.128223717212677,0.00681384509159056,gini,40,1,10,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9239828783242221,0.9237370052321647,0.9264365389089011,0.9222026892955614,0.9240897779402124,0.0015169267210690931,71
2,Decision Tree,18.013823866844177,0.18466322481299655,0.12747448682785034,0.003045378404119245,gini,40,2,2,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9257728406203685,0.9231380034946238,0.9263133485609804,0.9240167292808285,0.9248102304892003,0.0012856875097994483,56
2,Decision Tree,17.888821065425873,0.4533280740124966,0.1305069923400879,0.004515709604060096,gini,40,2,5,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9251176563112348,0.9239476024647958,0.9283106538469978,0.9250575187391336,0.9256083578405405,0.001628244747502818,42
2,Decision Tree,17.734067857265472,0.29073766569165005,0.13417929410934448,0.005687157991408211,gini,40,2,10,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9252178252308606,0.9240682725102007,0.9271975795082614,0.9240277145706174,0.925127847954985,0.0012869419372481367,48
2,Decision Tree,16.719023168087006,0.3461337471223321,0.1355552077293396,0.007603868060210127,gini,40,5,2,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,16.58834797143936,0.32034627138700744,0.13047552108764648,0.0056736081863584635,gini,40,5,5,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,16.842320382595062,0.25184312915978563,0.13532060384750366,0.019590988103287785,gini,40,5,10,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9236259243530116,0.9246081095019336,0.9266774636145397,0.9237608540931963,0.9246680878906703,0.0012196686239810816,58
2,Decision Tree,35.19586527347565,1.134026322656836,0.13140016794204712,0.004099208665189294,entropy,,1,2,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9262970779148272,0.9289453779806913,0.9314985083325978,0.9300922049964094,0.9292082923061314,0.0019085782841277875,2
2,Decision Tree,35.789473950862885,1.8565438508669414,0.14271819591522217,0.005968815566819993,entropy,,1,5,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9274790283329817,0.9266283733024885,0.9301067000839986,0.9303862093614614,0.9286500777702326,0.00162746330268966,14
