outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__linear_svm__C,param_model__rbf_features__gamma,param_model__rbf_features__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Approx RBF SVM,344.73521411418915,83.07901849150335,2.573386073112488,0.08575940738418233,1.0,0.01,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9475246733527384,0.9476105179310343,0.9487397978048868,0.9471982896137594,0.9477683196756047,0.0005815859670583031,10
2,Approx RBF SVM,310.05126267671585,63.74330408130156,1.4323557019233704,0.009984871265527513,5.0,0.0005,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9320184732827719,0.9316776923479319,0.9325696716491205,0.930403133395093,0.9316672426687292,0.0007962132974868482,23
2,Approx RBF SVM,405.48129707574844,37.89619176154931,2.4695416688919067,0.12226037783210901,5.0,0.0005,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9338269174585523,0.9331327168096775,0.9342954753356187,0.9316154431051669,0.9332176381772539,0.0010133107704774621,22
2,Approx RBF SVM,251.66287565231323,36.35348147559102,1.2968252301216125,0.07740615370348895,5.0,0.001,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9391136380884988,0.9404395579594657,0.9395023113998291,0.9390289306747145,0.9395211095306271,0.0005595028794642342,17
2,Approx RBF SVM,390.49067336320877,33.490106474841355,2.516224205493927,0.08070077663348632,5.0,0.001,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9432566154878909,0.9441149374717311,0.9441037711102728,0.9415214850212159,0.9432492022727776,0.0010565092510038867,12
2,Approx RBF SVM,236.48851346969604,27.525535235132878,1.3224446177482605,0.0824200264220392,5.0,0.003,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.947745850771361,0.9498300923275445,0.9508912192059961,0.9478473838709492,0.9490786365439626,0.0013362674472045977,7
2,Approx RBF SVM,439.2993416786194,85.54585137442594,2.476662337779999,0.1059506678124968,5.0,0.003,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9530438215508453,0.9546223392366019,0.9556330916184211,0.952847945614274,0.9540367995050356,0.001150041747023396,4
2,Approx RBF SVM,303.8308292031288,44.76184392395908,1.3291872143745422,0.09633853518817291,5.0,0.01,300,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9477742950268688,0.9479527736599545,0.9508500060149646,0.9496451104949204,0.949055546299177,0.0012674170514373202,8
2,Approx RBF SVM,424.45322674512863,43.699541652803035,2.5452022552490234,0.09661134230621075,5.0,0.01,500,"{'model__linear_svm__C': 5.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9543582580852881,0.9563277616886012,0.9572852197835864,0.955383962877258,0.9558388006086835,0.0010874390664206703,3
2,Approx RBF SVM,281.79760015010834,37.74961268195312,1.2371762990951538,0.011355175773014453,10.0,0.0005,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9366054580135427,0.9377234026610396,0.9378388448465933,0.9366041546644325,0.9371929650464019,0.000589573353979776,18
2,Approx RBF SVM,416.29573661088943,37.01956665116213,2.1225690245628357,0.13282103298260398,10.0,0.0005,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9397786751675743,0.940066673721834,0.940291657443625,0.9382507399829851,0.9395969365790046,0.0007982111645426364,16
2,Approx RBF SVM,289.04370033741,43.59384179550406,1.213121473789215,0.0246708667825095,10.0,0.001,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9439927403024377,0.9462634954134226,0.9465496308803396,0.945038876342423,0.9454611857346558,0.0010201826878034677,11
2,Approx RBF SVM,409.9536842107773,21.254094458033926,1.4248991012573242,0.22892388939191172,10.0,0.001,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9473357511628896,0.9500078238877587,0.9503739042250168,0.9467554999538499,0.9486182448073787,0.0015912163860451296,9
2,Approx RBF SVM,285.7313292622566,8.691378201753176,1.0745477080345154,0.02688276353072034,10.0,0.003,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9517088008986438,0.9533407128716418,0.9540276866024462,0.9522758987435143,0.9528382747790616,0.0009026520058121176,5
2,Approx RBF SVM,339.7466723918915,7.263548895760825,1.0346381068229675,0.08523037245390125,10.0,0.003,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9564796826509014,0.9585816437108297,0.9593720347716768,0.9565952907548999,0.9577571629720769,0.0012519467278757834,2
2,Approx RBF SVM,236.47166204452515,12.120797424076809,0.887656033039093,0.0535703770218399,10.0,0.01,300,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9504361219964964,0.9504516323941937,0.9537443077072371,0.9520470075788617,0.9516697674191973,0.0013648957389536267,6
2,Approx RBF SVM,243.9877851009369,14.033844617902538,0.8944391012191772,0.0295619304773744,10.0,0.01,500,"{'model__linear_svm__C': 10.0, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9572608176210975,0.9585989440075576,0.9602875686221856,0.9578392346096158,0.9584966412151141,0.0011376873734930783,1
